Time,Value
2025-03-10 11:04:26,99.58174
2025-03-10 11:06:00,99.83425
2025-03-10 11:07:00,100.35371
2025-03-10 11:25:40,100.35371
2025-03-13 05:30:45,100.82990
2025-03-13 21:06:58,101.48407
2025-03-13 22:23:58,102.22484
2025-03-14 00:01:05,102.94154
2025-03-14 01:36:47,103.67990
2025-03-14 03:08:54,104.02863
2025-03-14 03:09:54,104.38937
2025-03-14 04:59:51,105.10368
2025-03-14 07:45:04,105.65444
2025-03-14 07:46:04,105.83482
2025-03-14 13:49:07,106.61646
2025-03-14 18:11:08,107.26582
2025-03-14 21:22:11,107.98012
2025-03-15 00:00:25,108.70644
2025-03-15 03:03:13,109.42796
2025-03-15 06:08:18,110.12302
2025-03-15 13:36:22,110.79881
2025-03-15 17:43:31,111.54677
2025-03-15 22:15:34,112.17929
2025-03-16 01:17:33,112.85270
2025-03-16 03:45:38,112.90561
2025-03-16 03:46:38,113.52850
2025-03-16 10:19:47,114.23077
2025-03-16 18:36:51,114.94744
2025-03-16 21:55:01,115.61364
2025-03-17 01:30:53,115.65212
2025-03-17 01:31:53,116.28947
2025-03-17 04:49:51,116.94604
2025-03-17 14:48:06,117.68917
2025-03-17 17:12:01,118.35052
2025-03-17 21:01:02,119.02874
2025-03-18 00:19:09,119.65886
2025-03-18 03:32:21,119.74303
2025-03-18 05:24:13,120.44532
2025-03-18 14:59:19,121.20773
2025-03-18 16:44:14,121.61177
2025-03-18 18:45:12,122.36214
2025-03-18 21:44:27,123.00430
2025-03-18 23:03:20,123.68493
2025-03-19 03:07:29,124.32708
2025-03-19 05:42:28,125.06302
2025-03-19 07:59:38,125.71239
2025-03-19 14:21:40,126.46997
2025-03-19 15:49:30,126.86681
2025-03-19 15:50:30,127.11212
2025-03-19 16:34:34,127.72301
2025-03-19 17:16:37,128.39400
2025-03-19 18:29:44,128.80043
2025-03-19 19:56:37,128.87016
2025-03-19 20:15:38,128.87978
2025-03-19 20:55:41,128.88939
2025-03-19 21:30:44,128.91824
2025-03-19 21:35:44,128.94710
2025-03-19 22:03:47,128.98558
2025-03-19 22:27:38,129.07697
2025-03-19 22:48:40,129.10582
2025-03-19 23:07:41,129.10823
2025-03-20 00:01:32,129.11304
2025-03-20 00:31:33,129.12987
2025-03-20 00:53:34,129.17796
2025-03-20 01:11:36,129.21164
2025-03-20 01:36:38,129.23569
2025-03-20 02:13:41,129.27176
2025-03-20 02:32:43,129.28137
2025-03-20 02:55:44,129.28618
2025-03-20 03:56:41,129.92105
2025-03-20 05:19:36,130.42366
2025-03-20 05:20:36,130.48138
2025-03-20 07:23:41,131.14035
2025-03-20 08:35:47,131.27985
2025-03-20 09:07:50,132.01094
2025-03-20 09:14:50,132.40054
2025-03-20 09:15:50,132.70837
2025-03-20 09:17:50,132.85268
2025-03-20 09:18:50,133.34810
2025-03-20 09:22:51,133.95412
2025-03-20 09:27:51,134.63710
2025-03-20 09:32:52,135.21426
2025-03-20 09:33:52,137.12160
2025-03-20 09:34:52,139.72887
2025-03-20 09:35:52,140.49855
2025-03-20 09:39:52,140.69817
2025-03-20 10:03:47,140.75589
2025-03-20 10:09:48,141.46056
2025-03-20 10:10:48,142.23746
2025-03-20 10:11:48,142.47798
2025-03-20 10:12:48,142.52849
2025-03-20 10:14:48,142.80746
2025-03-20 10:15:48,144.35880
2025-03-20 10:16:48,145.66724
2025-03-20 10:17:48,145.88129
2025-03-20 10:26:49,146.47049
2025-03-20 10:31:49,147.07411
2025-03-20 10:32:50,148.46664
2025-03-20 10:33:50,149.83284
2025-03-20 10:35:50,150.85736
2025-03-20 10:36:50,153.88297
2025-03-20 10:37:50,155.78308
2025-03-20 10:38:50,157.09384
2025-03-20 10:39:50,157.87553
2025-03-20 10:40:50,158.93382
2025-03-20 10:41:50,159.53754
2025-03-20 10:42:50,160.65346
2025-03-20 10:43:50,161.91374
2025-03-20 10:44:50,163.47946
2025-03-20 10:45:51,164.54012
2025-03-20 10:47:51,164.89365
2025-03-20 10:48:51,167.33725
2025-03-20 10:49:51,168.06604
2025-03-20 10:54:51,169.67513
2025-03-20 10:55:52,171.41640
2025-03-20 10:56:52,173.47525
2025-03-20 10:57:52,175.39703
2025-03-20 10:58:52,175.68323
2025-03-20 10:59:52,176.14256
2025-03-20 11:00:52,178.28558
2025-03-20 11:01:52,180.05824
2025-03-20 11:02:52,180.10875
2025-03-20 11:03:52,180.90727
2025-03-20 11:04:56,182.75928
2025-03-20 11:05:56,182.86511
2025-03-20 11:07:56,183.18982
2025-03-20 11:08:56,184.44051
2025-03-20 11:09:56,184.53430
2025-03-20 11:11:56,185.42180
2025-03-20 11:12:56,185.68156
2025-03-20 11:14:56,185.71283
2025-03-20 11:31:58,186.06155
2025-03-20 11:36:58,186.61949
2025-03-20 11:38:58,186.87202
2025-03-20 11:39:58,186.94417
2025-03-20 11:40:58,187.14619
2025-03-20 11:42:59,187.19431
2025-03-20 11:43:59,187.68013
2025-03-20 11:44:59,187.76912
2025-03-20 11:45:59,188.61568
2025-03-20 11:47:59,188.96440
2025-03-20 11:48:59,188.98605
2025-03-20 11:49:59,189.26263
2025-03-20 11:50:59,189.35162
2025-03-20 11:51:59,189.40694
2025-03-20 11:52:59,190.87401
2025-03-20 11:54:00,191.66528
2025-03-20 11:55:00,192.14392
2025-03-20 11:56:00,192.98573
2025-03-20 11:57:00,193.88037
2025-03-20 11:58:00,194.20747
2025-03-20 11:59:00,194.50816
2025-03-20 12:05:30,194.79680
2025-03-20 12:06:30,194.85213
2025-03-20 12:09:30,194.95795
2025-03-20 12:10:30,195.02289
2025-03-20 12:17:31,143.02600
2025-03-20 12:27:31,143.79324
2025-03-20 12:52:33,143.84134
2025-03-20 12:53:34,144.70715
2025-03-20 12:54:34,147.89653
2025-03-20 12:55:34,151.04263
2025-03-20 12:56:34,154.17188
2025-03-20 12:57:34,157.29871
2025-03-20 12:58:34,160.48569
2025-03-20 12:59:34,163.61011
2025-03-20 12:59:48,164.28839
2025-03-20 13:00:48,167.41763
2025-03-20 13:01:48,170.54688
2025-03-20 13:02:48,173.72662
2025-03-20 13:03:48,176.86069
2025-03-20 13:04:48,179.97787
2025-03-20 13:05:48,183.09747
2025-03-20 13:06:49,186.21948
2025-03-20 13:07:49,189.34631
2025-03-20 13:08:49,192.46591
2025-03-20 13:09:49,195.58792
2025-03-20 13:10:49,198.70752
2025-03-20 13:11:49,201.83194
2025-03-20 13:12:49,204.94913
2025-03-20 13:13:49,208.07355
2025-03-20 13:14:49,211.24365
2025-03-20 13:15:49,214.36566
2025-03-20 13:16:49,217.48044
2025-03-20 13:17:49,220.59521
2025-03-20 13:18:49,223.71240
2025-03-20 13:19:50,226.83441
2025-03-20 13:20:50,229.95401
2025-03-20 13:21:50,233.08325
2025-03-20 13:22:50,236.20767
2025-03-20 13:23:50,239.32968
2025-03-20 13:24:50,242.45169
2025-03-20 13:25:50,245.57370
2025-03-20 13:26:50,248.69330
2025-03-20 13:27:50,251.86581
2025-03-20 13:28:50,254.98541
2025-03-20 13:29:50,258.10501
2025-03-20 13:30:50,261.22702
2025-03-20 13:31:51,264.34180
2025-03-20 13:32:51,267.45657
2025-03-20 13:33:51,270.57376
2025-03-20 13:34:51,273.68613
2025-03-20 13:35:51,276.79849
2025-03-20 13:36:51,279.90845
2025-03-20 13:37:51,283.02081
2025-03-20 13:38:51,286.13077
2025-03-20 13:39:51,289.29364
2025-03-20 13:40:51,292.40601
2025-03-20 13:41:51,295.52078
2025-03-20 15:08:38,296.76669
2025-03-20 15:11:39,143.20000
2025-03-22 15:51:26,143.69543
2025-03-22 18:37:35,144.19569
2025-03-22 21:27:28,144.47708
2025-03-22 23:38:38,144.67911
2025-03-24 06:45:03,144.81567
2025-03-24 13:05:01,149.49388
2025-03-24 15:57:56,150.13840
2025-03-24 17:59:00,150.47749
2025-03-24 18:00:00,150.83821
2025-03-24 19:54:09,150.90315
2025-03-24 19:58:10,150.95366
2025-03-24 20:01:10,150.98973
2025-03-24 20:03:10,151.23503
2025-03-24 20:36:58,151.29034
2025-03-24 20:44:59,151.29276
2025-03-24 20:51:59,151.39377
2025-03-24 21:09:09,151.45869
2025-03-24 21:24:10,151.66312
2025-03-24 21:42:12,151.69438
2025-03-24 21:55:13,151.72324
2025-03-24 21:56:13,151.75209
2025-03-24 21:57:13,151.90121
2025-03-24 21:58:13,151.90363
2025-03-24 21:59:13,152.22348
2025-03-24 22:39:16,152.24753
2025-03-24 22:56:17,152.28120
2025-03-24 23:06:18,152.28362
2025-03-24 23:09:18,152.31247
2025-03-24 23:10:18,152.35576
2025-03-24 23:11:18,152.45677
2025-03-24 23:14:19,152.46158
2025-03-24 23:15:19,152.46880
2025-03-24 23:17:19,152.68523
2025-03-25 00:01:23,152.69725
2025-03-25 00:12:24,152.79826
2025-03-25 00:13:24,152.90891
2025-03-25 00:20:24,152.91852
2025-03-25 00:27:25,152.94017
2025-03-25 00:31:25,153.38988
2025-03-25 02:04:09,153.52216
2025-03-25 02:18:11,153.57025
2025-03-25 02:22:11,153.66164
2025-03-25 02:35:12,153.79631
2025-03-25 02:42:12,153.79872
2025-03-25 02:47:13,153.82037
2025-03-25 02:48:13,153.89491
2025-03-25 02:49:13,153.93579
2025-03-25 02:50:13,154.00073
2025-03-25 02:54:14,154.36868
2025-03-25 03:49:18,154.44083
2025-03-25 03:58:10,154.46248
2025-03-25 04:03:11,154.46970
2025-03-25 04:12:12,154.53223
2025-03-25 04:14:12,154.56108
2025-03-25 04:15:12,154.69334
2025-03-25 04:16:12,154.70778
