Time,Value
2025-01-30 12:51:28,0.00000
2025-01-30 14:24:25,0.00000
2025-02-06 15:31:54,0.00000
2025-02-06 15:37:03,0.00256
2025-02-06 15:37:34,0.15641
2025-02-06 15:39:04,0.52308
2025-02-06 15:39:34,0.52821
2025-02-06 15:40:04,0.53333
2025-02-06 15:40:34,0.53846
2025-02-06 15:41:05,0.72308
2025-02-06 15:58:40,0.80257
2025-02-06 15:59:10,1.15898
2025-02-06 15:59:40,1.32308
2025-02-06 16:07:43,2.33078
2025-02-06 16:08:13,2.58463
2025-02-11 16:14:09,0.00000
2025-02-11 16:15:39,0.60533
2025-02-11 16:16:09,1.59201
2025-02-11 16:16:40,1.80001
2025-02-12 14:48:12,1.80268
2025-02-12 16:06:19,1.80524
2025-02-12 16:08:20,0.00000
2025-02-13 16:18:34,0.14933
2025-02-13 16:19:04,0.46933
2025-02-13 16:21:05,1.40800
2025-02-13 16:21:35,2.34669
2025-02-13 16:29:37,2.51735
2025-02-13 16:30:07,3.48537
2025-02-13 16:30:37,4.29870
2025-02-13 16:31:07,4.48268
2025-02-14 15:27:32,4.50402
2025-02-14 15:28:02,5.29863
2025-02-14 15:28:32,6.46654
2025-02-14 15:29:02,7.72245
2025-02-18 14:56:25,8.15442
2025-02-18 14:56:55,8.88238
2025-02-18 14:57:25,10.43693
2025-02-18 14:57:56,12.00215
2025-02-18 14:58:26,12.28746
2025-02-18 15:07:58,12.44479
2025-02-18 15:14:00,12.51145
2025-02-18 15:33:35,12.95409
2025-02-18 15:59:13,13.62071
2025-02-18 15:59:43,14.52198
2025-02-18 16:44:27,14.85529
2025-02-18 16:57:46,15.07394
2025-02-18 16:58:16,16.23119
2025-02-18 16:59:17,16.33785
2025-02-18 17:01:48,16.43385
2025-02-18 17:05:49,16.55384
2025-02-18 17:06:19,17.03647
2025-02-18 17:09:20,18.15906
2025-02-18 17:09:51,18.96967
2025-02-18 17:10:21,19.05766
2025-02-18 17:10:51,19.45497
2025-02-18 17:11:21,20.19092
2025-02-18 17:13:52,20.31891
2025-02-18 17:14:22,20.94553
2025-02-18 17:15:22,21.25218
2025-02-18 17:15:53,21.32951
2025-02-18 17:17:53,22.18812
2025-02-18 17:29:27,23.36670
2025-02-18 17:44:01,23.46803
2025-02-18 17:44:31,24.87859
2025-02-18 17:59:05,25.18257
2025-02-18 17:59:35,26.65713
2025-02-18 18:00:06,27.00377
2025-02-18 18:29:14,27.74505
2025-02-18 18:29:44,29.20362
2025-02-18 18:30:15,29.47026
2025-02-19 15:52:08,19.47000
2025-02-21 12:23:50,20.15262
2025-02-21 12:24:21,21.57385
2025-02-21 12:24:51,22.15514
2025-02-21 12:25:21,22.81110
2025-02-21 23:44:35,22.89377
2025-02-21 23:45:05,23.62171
2025-02-21 23:59:40,24.65097
2025-02-22 00:00:10,25.27226
2025-02-22 01:54:04,25.62691
2025-02-22 01:54:34,27.03747
2025-02-22 01:55:04,27.29345
2025-02-22 07:02:20,27.33612
2025-02-22 07:02:50,28.76801
2025-02-22 07:03:20,28.86401
2025-02-22 07:59:10,29.27998
2025-02-22 07:59:40,30.23724
2025-02-22 08:06:12,30.54922
2025-02-22 08:06:42,31.15451
2025-02-22 08:12:44,31.99978
2025-02-22 08:24:18,32.82373
2025-02-22 08:24:48,32.97305
2025-02-22 08:29:19,33.76766
2025-02-22 08:41:24,34.77293
2025-02-22 08:55:58,35.81819
2025-02-22 08:59:29,36.42615
2025-02-22 09:14:04,36.60480
2025-02-22 09:14:34,37.32209
2025-02-22 09:29:08,37.68740
2025-02-22 09:29:38,38.32735
2025-02-22 09:44:14,38.92998
2025-02-22 09:44:44,39.20996
2025-02-22 09:59:18,40.02590
2025-02-22 09:59:48,40.12456
2025-02-22 10:14:23,40.98850
2025-02-22 10:29:28,41.87911
2025-02-22 10:59:08,42.19909
2025-02-22 10:59:38,42.78838
2025-02-22 11:29:17,43.53500
2025-02-22 11:29:47,43.69765
2025-02-22 11:59:27,44.46560
2025-02-22 13:59:21,44.83891
2025-02-22 16:59:17,45.58819
2025-02-22 16:59:47,45.86284
2025-02-22 17:29:07,46.09216
2025-02-22 17:29:37,46.63345
2025-02-22 17:59:16,47.31340
2025-02-22 17:59:46,47.48672
2025-02-22 18:14:21,48.03069
2025-02-22 18:29:25,48.76664
2025-02-22 18:44:31,49.45726
2025-02-22 21:03:19,50.32653
2025-02-22 21:03:49,50.85983
2025-02-22 22:08:42,52.15041
2025-02-22 22:56:59,53.08368
2025-02-22 22:57:29,53.41698
2025-02-22 23:48:47,54.63290
2025-02-25 15:35:56,57.60604
2025-02-25 15:36:26,57.72603
2025-02-25 15:48:20,57.72603
2025-02-25 16:59:22,58.66463
2025-02-25 16:59:53,58.71263
2025-02-25 18:29:27,59.66990
2025-02-26 04:38:43,60.99780
2025-02-26 07:59:07,61.22712
2025-02-26 07:59:37,62.28305
2025-02-26 08:14:13,62.76835
2025-02-26 08:14:43,63.26431
2025-02-26 08:29:17,63.94693
2025-02-26 08:29:47,64.20321
2025-02-26 08:59:26,65.23923
2025-02-26 09:29:05,65.38071
2025-02-26 09:29:35,66.20850
2025-02-26 09:59:16,66.85467
2025-02-26 09:59:46,67.14840
2025-02-26 10:59:04,67.23914
2025-02-26 10:59:35,68.10966
2025-02-26 12:29:13,68.63299
2025-02-26 12:29:44,69.14301
2025-02-26 14:29:18,69.83992
2025-02-26 14:29:48,70.27251
2025-02-26 14:59:28,71.23911
2025-02-26 15:06:00,71.35655
2025-02-27 11:29:14,71.82643
2025-02-27 14:51:49,71.88246
2025-02-27 16:59:17,72.30966
2025-02-28 07:59:19,72.85970
2025-02-28 08:59:08,73.11065
2025-02-28 08:59:38,73.23615
2025-02-28 12:29:19,73.67136
2025-03-01 07:59:22,74.19469
2025-03-01 08:59:27,74.60854
2025-03-01 10:59:26,75.02505
2025-03-01 12:59:33,75.44691
2025-03-01 18:29:23,75.97559
2025-03-02 07:59:18,76.62443
2025-03-02 07:59:48,76.66448
2025-03-02 08:29:26,77.22787
2025-03-02 09:29:14,77.69779
2025-03-02 09:29:45,77.72717
2025-03-02 11:59:30,78.24783
2025-03-03 07:59:16,78.66969
2025-03-03 08:59:35,79.09155
2025-03-03 10:29:23,79.49472
2025-03-03 14:59:23,80.02607
2025-03-03 15:31:32,80.10613
2025-03-05 07:59:30,80.40247
2025-03-05 08:59:18,80.88308
2025-03-05 12:29:15,81.33965
2025-03-05 12:29:45,81.36903
2025-03-10 11:04:26,83.11760
2025-03-10 11:25:40,83.11760
2025-03-10 11:56:36,83.28839
2025-03-11 12:29:14,83.48861
2025-03-11 16:59:19,83.78230
2025-03-12 11:59:39,83.96917
2025-03-12 16:29:34,84.23883
2025-03-13 10:29:44,84.44973
2025-03-13 12:29:59,84.67666
2025-03-13 15:14:05,84.82349
2025-03-13 15:15:05,85.21602
2025-03-14 13:00:03,85.75002
2025-03-15 12:29:17,86.17988
2025-03-15 12:30:17,86.19323
2025-03-16 11:29:32,86.64445
2025-03-17 10:59:55,87.26124
2025-03-17 12:59:57,87.53089
2025-03-18 11:29:35,88.08893
2025-03-18 14:56:19,88.23309
2025-03-18 14:57:19,88.81518
2025-03-18 15:30:09,89.37857
2025-03-18 15:59:11,89.47466
2025-03-18 16:00:12,89.77106
2025-03-18 16:59:15,90.00066
2025-03-18 17:00:15,90.21429
2025-03-18 17:44:18,90.59876
2025-03-18 18:29:11,90.65212
2025-03-18 18:30:11,91.00727
2025-03-19 09:29:25,91.43980
2025-03-19 10:59:32,91.86967
2025-03-19 12:29:32,92.32359
2025-03-19 13:29:36,92.68136
2025-03-19 14:59:44,93.30349
2025-03-19 16:59:35,93.97369
2025-03-20 11:29:58,95.45564
2025-03-20 12:05:30,95.45564
2025-03-20 15:08:38,95.45564
2025-03-21 12:00:05,96.81743
2025-03-21 13:59:58,97.69324
2025-03-22 12:29:26,98.43287
2025-03-22 12:30:26,99.06840
2025-03-24 12:29:59,102.50223
2025-03-24 13:29:44,103.40206
2025-03-25 13:29:15,103.52483
2025-03-25 13:30:15,104.04820
2025-03-26 13:29:32,104.94535
2025-03-27 15:00:49,105.15886
2025-03-27 15:03:49,106.08541
2025-03-27 15:29:51,106.83038
2025-03-28 13:30:08,107.30565
2025-03-31 15:09:04,107.58854
2025-03-31 15:10:04,107.81277
2025-03-31 16:14:30,107.91153
2025-03-31 16:29:31,108.03699
2025-03-31 16:59:33,108.16780
2025-03-31 17:14:35,108.29860
2025-03-31 17:29:36,108.44276
2025-03-31 17:59:38,108.50146
2025-03-31 18:14:39,108.67766
2025-03-31 18:29:40,109.01141
2025-03-31 21:09:11,110.15422
2025-04-01 08:33:16,110.15422
2025-04-01 08:35:16,111.41722
2025-04-01 08:36:16,111.55608
2025-04-01 08:42:17,112.36514
2025-04-01 08:53:18,113.10209
2025-04-01 08:59:18,113.15011
2025-04-01 09:00:18,113.79098
2025-04-01 09:14:19,113.89774
2025-04-01 09:15:19,114.78428
2025-04-01 09:29:20,114.94980
2025-04-01 09:30:20,115.85236
2025-04-01 09:44:21,116.07128
2025-04-01 09:45:21,116.92577
2025-04-01 09:59:23,117.20612
2025-04-01 10:00:23,118.15674
2025-04-01 10:15:17,119.29958
2025-04-01 10:29:19,119.41703
2025-04-01 10:30:19,120.50384
2025-04-01 10:51:21,120.84293
2025-04-01 10:54:21,121.52915
2025-04-01 10:55:22,121.66534
2025-04-01 11:29:24,122.00710
2025-04-01 11:30:24,122.90431
2025-04-01 11:59:27,123.38759
2025-04-01 12:00:27,124.22072
2025-04-01 12:14:29,124.78410
2025-04-01 12:15:29,125.26476
2025-04-01 12:29:30,125.91092
2025-04-01 12:30:30,126.36220
2025-04-01 12:59:32,127.12051
2025-04-01 13:00:32,127.53441
2025-04-01 13:14:33,128.34346
2025-04-01 13:15:33,128.58646
2025-04-01 13:59:30,129.19791
2025-04-01 14:00:30,129.76668
2025-04-01 14:29:32,130.48227
2025-04-01 14:30:32,130.99496
2025-04-01 14:59:34,131.80936
2025-04-01 15:00:34,132.18053
2025-04-01 15:29:36,133.10974
2025-04-01 15:30:37,133.44353
2025-04-01 15:44:38,134.43683
2025-04-01 15:45:38,134.52228
2025-04-01 15:59:39,135.56631
2025-04-01 16:00:39,135.76926
2025-04-01 16:14:40,136.86670
2025-04-01 16:29:41,137.98550
2025-04-01 16:30:41,138.14305
2025-04-01 16:59:43,139.38202
2025-04-01 17:00:43,139.47815
2025-04-01 17:16:32,140.75183
2025-04-01 17:29:33,141.47543
2025-04-01 17:30:33,141.96410
2025-04-01 17:44:34,142.74644
2025-04-01 17:45:34,143.21375
2025-04-01 17:59:35,144.05484
2025-04-01 18:00:35,144.66100
2025-04-01 18:29:38,145.63293
2025-04-01 18:30:38,146.25244
2025-04-01 18:44:34,147.01343
2025-04-01 18:45:34,147.44868
2025-04-01 23:17:42,148.64493
2025-04-01 23:18:42,151.49680
2025-04-01 23:19:42,152.72513
2025-04-02 01:44:42,153.69171
2025-04-02 01:45:43,156.54358
2025-04-02 01:46:43,159.40346
2025-04-02 01:47:43,162.20993
2025-04-02 04:26:48,163.37946
2025-04-02 04:27:49,166.22331
2025-04-02 04:28:49,169.07251
2025-04-02 04:29:49,170.91768
2025-04-02 05:19:53,172.67201
2025-04-02 05:20:53,175.51053
2025-04-02 05:21:53,178.35706
2025-04-02 05:22:53,181.20091
2025-04-02 05:23:53,184.05011
2025-04-02 05:24:53,186.89397
2025-04-02 05:25:53,189.74316
2025-04-02 05:26:53,191.78860
2025-04-02 06:21:57,193.53493
2025-04-02 06:22:57,196.38680
2025-04-02 06:23:58,199.24667
2025-04-02 06:24:58,202.11189
2025-04-02 06:25:58,204.97444
2025-04-02 06:26:58,207.83699
2025-04-02 06:27:58,209.35638
2025-04-02 07:23:03,212.06934
2025-04-02 07:24:03,214.91853
2025-04-02 07:25:03,217.76773
2025-04-02 07:26:03,220.61426
2025-04-02 07:27:03,222.39534
2025-04-02 07:59:50,223.89867
2025-04-02 08:00:50,226.71849
2025-04-02 08:01:50,229.55167
2025-04-02 08:02:50,230.76398
2025-04-02 08:09:51,231.14845
2025-04-02 08:10:51,233.98697
2025-04-02 08:11:51,235.33813
2025-04-02 08:20:51,235.68256
2025-04-02 08:21:52,238.51840
2025-04-02 08:22:52,239.30881
2025-04-02 08:29:52,240.95099
2025-04-02 08:30:52,242.84956
2025-04-02 08:38:53,244.58522
2025-04-02 08:39:53,247.43709
2025-04-02 08:40:53,247.48515
2025-04-02 08:44:53,249.18875
2025-04-02 08:45:53,249.44510
2025-04-02 08:57:54,250.46510
2025-04-02 08:58:54,251.67207
2025-04-02 09:06:55,252.73213
2025-04-02 09:07:55,253.85899
2025-04-02 09:14:56,255.65605
2025-04-02 09:15:56,256.03503
2025-04-02 09:27:57,257.38409
2025-04-02 09:28:57,258.47549
2025-04-02 09:29:57,259.20901
2025-04-02 09:30:57,259.39532
2025-04-02 09:31:57,261.67377
2025-04-02 09:32:57,262.59241
2025-04-02 09:33:57,263.69977
2025-04-02 09:34:57,264.31839
2025-04-02 09:44:58,266.23279
2025-04-02 09:45:58,266.93106
2025-04-02 10:00:00,268.90918
2025-04-02 10:01:00,270.66946
2025-04-02 10:12:00,270.83450
2025-04-02 10:20:02,191.78000
2025-04-03 08:00:08,192.07367
2025-04-03 15:24:05,192.31128
2025-04-04 08:00:15,193.02153
2025-04-04 08:30:08,193.47810
2025-04-04 09:32:10,193.52345
2025-04-04 11:04:18,193.89992
2025-04-04 17:29:28,194.29240
2025-04-04 17:30:28,194.32979
2025-04-05 02:26:33,194.54070
2025-04-05 02:27:33,195.61949
2025-04-05 07:59:25,195.84909
2025-04-05 08:00:25,196.83443
2025-04-05 08:14:26,197.12811
2025-04-05 08:15:26,197.43787
2025-04-05 08:29:28,197.80099
2025-04-05 08:29:36,198.00661
2025-04-05 08:59:39,198.52994
2025-04-05 09:59:25,199.25349
2025-04-05 10:00:25,199.39235
2025-04-05 10:29:28,199.73677
2025-04-05 11:29:33,200.06250
2025-04-05 15:59:44,200.43095
2025-04-05 16:59:44,200.76736
2025-04-05 18:29:51,201.15184
2025-04-06 07:59:50,202.03835
2025-04-06 08:29:53,202.49759
2025-04-07 06:46:06,202.73785
2025-04-07 06:47:07,203.92613
2025-04-07 10:03:04,204.03551
2025-04-07 10:04:04,204.14766
2025-04-07 14:43:13,204.32919
2025-04-07 15:30:06,204.54544
2025-04-07 15:33:06,204.83379
2025-04-08 09:59:34,205.11143
2025-04-09 15:59:57,205.64272
2025-04-10 09:00:07,205.86429
2025-04-10 15:54:57,205.86429
2025-04-10 16:29:59,206.06718
2025-04-11 12:30:22,206.27809
2025-04-11 16:08:41,206.51303
2025-04-11 17:29:25,206.58508
2025-04-11 17:30:25,206.72661
2025-04-12 07:59:38,206.94286
2025-04-12 10:29:47,207.16711
2025-04-12 14:59:43,207.39137
