Time,Value
2025-04-26 20:23:56,56.30000
2025-04-26 20:24:56,56.20000
2025-04-26 20:26:57,56.10000
2025-04-26 20:27:57,56.30000
2025-04-26 20:28:57,57.00000
2025-04-26 20:29:57,57.20000
2025-04-26 20:30:57,57.50000
2025-04-26 20:31:57,57.70000
2025-04-26 20:34:57,58.00000
2025-04-26 20:35:57,58.20000
2025-04-26 20:36:57,58.10000
2025-04-26 20:37:57,58.20000
2025-04-26 20:38:57,57.80000
2025-04-26 20:39:58,57.60000
2025-04-26 20:42:58,57.80000
2025-04-26 20:44:58,58.00000
2025-04-26 20:45:58,57.80000
2025-04-26 20:48:59,57.70000
2025-04-26 20:49:59,58.00000
2025-04-26 20:50:59,58.10000
2025-04-26 20:51:59,58.20000
2025-04-26 20:52:59,58.50000
2025-04-26 20:53:59,58.70000
2025-04-26 20:54:59,58.80000
2025-04-26 20:55:59,59.10000
2025-04-26 20:56:59,59.50000
2025-04-26 20:57:59,59.30000
2025-04-26 20:59:00,59.70000
2025-04-26 21:00:00,60.10000
2025-04-26 21:01:00,60.30000
2025-04-26 21:02:00,60.60000
2025-04-26 21:03:00,60.80000
2025-04-26 21:04:00,60.70000
2025-04-26 21:05:00,60.50000
2025-04-26 21:06:00,60.60000
2025-04-26 21:07:00,61.00000
2025-04-26 21:08:00,61.30000
2025-04-26 21:09:00,61.50000
2025-04-26 21:10:00,61.80000
2025-04-26 21:16:01,62.00000
2025-04-26 21:17:01,62.20000
2025-04-26 21:18:01,62.30000
2025-04-26 21:20:01,62.60000
2025-04-26 21:21:01,62.70000
2025-04-26 21:23:01,62.80000
2025-04-26 21:24:01,63.10000
2025-04-26 21:25:02,63.50000
2025-04-26 21:26:02,63.30000
2025-04-26 21:27:02,63.10000
2025-04-26 21:28:02,62.70000
2025-04-26 21:30:02,63.10000
2025-04-26 21:31:02,63.20000
2025-04-26 21:32:02,63.30000
2025-04-26 21:33:02,63.60000
2025-04-26 21:34:02,64.00000
2025-04-26 21:35:02,64.20000
2025-04-26 21:36:02,64.30000
2025-04-26 21:39:02,64.20000
2025-04-26 21:40:03,64.10000
2025-04-26 21:41:03,64.30000
2025-04-26 21:42:03,64.70000
2025-04-26 21:43:03,64.30000
2025-04-26 21:45:03,64.20000
2025-04-26 21:47:03,64.50000
2025-04-26 21:50:04,64.60000
2025-04-26 21:51:04,64.80000
2025-04-26 21:53:04,65.00000
2025-04-26 21:54:04,65.10000
2025-04-26 21:56:04,65.30000
2025-04-26 21:57:04,65.20000
2025-04-26 21:58:04,65.50000
2025-04-26 21:59:04,65.30000
2025-04-26 22:00:05,65.50000
2025-04-26 22:01:05,65.00000
2025-04-26 22:02:05,63.30000
2025-04-26 22:03:05,62.60000
2025-04-26 22:05:05,63.00000
2025-04-26 22:06:05,63.30000
2025-04-26 22:07:05,63.60000
2025-04-26 22:08:05,63.70000
2025-04-26 22:09:05,64.00000
2025-04-26 22:10:05,64.30000
2025-04-26 22:11:06,64.50000
2025-04-26 22:12:06,64.70000
2025-04-26 22:13:06,64.80000
2025-04-26 22:14:06,64.30000
2025-04-26 22:15:06,64.50000
2025-04-26 22:16:06,64.80000
2025-04-26 22:17:06,65.10000
2025-04-26 22:18:06,65.50000
2025-04-26 22:19:06,65.30000
2025-04-26 22:20:06,65.20000
2025-04-26 22:22:06,65.50000
2025-04-26 22:23:07,65.70000
2025-04-26 22:24:07,65.80000
2025-04-26 22:25:07,66.00000
2025-04-26 22:26:07,66.30000
2025-04-26 22:29:07,66.50000
2025-04-26 22:30:07,66.60000
2025-04-26 22:31:07,66.80000
2025-04-26 22:32:08,67.10000
2025-04-26 22:33:08,67.20000
2025-04-26 22:34:08,67.50000
2025-04-26 22:35:08,67.30000
2025-04-26 22:36:08,67.50000
2025-04-26 22:37:08,67.70000
2025-04-26 22:38:08,67.50000
2025-04-26 22:39:08,67.60000
2025-04-26 22:41:09,68.00000
2025-04-26 22:42:09,68.10000
2025-04-26 22:43:09,68.20000
2025-04-26 22:44:09,68.30000
2025-04-26 22:45:09,68.80000
2025-04-26 22:47:09,68.20000
2025-04-26 22:48:10,67.70000
2025-04-26 22:52:10,68.00000
2025-04-26 22:53:10,68.10000
2025-04-26 22:57:10,67.80000
2025-04-26 22:58:10,68.20000
2025-04-26 23:00:11,68.00000
2025-04-26 23:01:11,67.30000
2025-04-26 23:02:11,67.50000
2025-04-26 23:03:11,67.70000
2025-04-26 23:04:11,67.60000
2025-04-26 23:06:11,67.80000
2025-04-26 23:07:11,68.00000
2025-04-26 23:08:11,68.20000
2025-04-26 23:09:11,68.30000
2025-04-26 23:10:11,68.60000
2025-04-26 23:15:12,68.30000
2025-04-26 23:16:12,68.20000
2025-04-26 23:17:12,68.10000
2025-04-26 23:19:12,68.00000
2025-04-26 23:21:12,68.20000
2025-04-26 23:22:12,68.30000
2025-04-26 23:23:12,68.20000
2025-04-26 23:24:12,68.10000
2025-04-26 23:25:12,67.70000
2025-04-26 23:27:12,68.00000
2025-04-26 23:28:13,67.80000
2025-04-26 23:30:13,67.70000
2025-04-26 23:31:13,67.50000
2025-04-26 23:32:13,67.20000
2025-04-26 23:33:13,66.50000
2025-04-26 23:34:13,65.50000
2025-04-26 23:35:13,64.60000
2025-04-26 23:36:13,64.10000
2025-04-26 23:37:13,63.50000
2025-04-26 23:38:13,63.30000
2025-04-26 23:40:13,63.10000
2025-04-26 23:41:14,63.20000
2025-04-26 23:42:14,63.30000
2025-04-26 23:43:14,63.50000
2025-04-26 23:44:14,64.10000
2025-04-26 23:45:14,64.30000
2025-04-26 23:46:14,64.70000
2025-04-26 23:48:14,64.80000
2025-04-26 23:49:14,65.20000
2025-04-26 23:50:14,65.30000
2025-04-26 23:51:14,65.50000
2025-04-26 23:52:14,65.70000
2025-04-26 23:54:15,65.70000
2025-04-26 23:55:15,65.80000
2025-04-26 23:56:15,66.60000
2025-04-26 23:57:15,66.70000
2025-04-26 23:58:15,67.10000
2025-04-26 23:59:15,67.20000
2025-04-27 00:00:15,67.50000
2025-04-27 00:01:15,67.70000
2025-04-27 00:02:15,67.80000
2025-04-27 00:02:58,68.00000
2025-04-27 00:03:58,68.20000
2025-04-27 00:04:58,68.50000
2025-04-27 00:05:58,68.60000
2025-04-27 00:06:58,68.70000
2025-04-27 00:07:58,68.80000
2025-04-27 00:08:58,69.20000
2025-04-27 00:10:58,69.60000
2025-04-27 00:11:59,69.30000
2025-04-27 00:13:59,69.20000
2025-04-27 00:14:59,68.60000
2025-04-27 00:15:59,67.20000
2025-04-27 00:16:59,65.80000
2025-04-27 00:17:59,64.20000
2025-04-27 00:18:59,63.50000
2025-04-27 00:19:59,62.70000
2025-04-27 00:20:59,62.10000
2025-04-27 00:21:59,61.80000
2025-04-27 00:22:59,61.70000
2025-04-27 00:23:59,61.60000
2025-04-27 00:24:59,61.50000
2025-04-27 00:26:00,61.30000
2025-04-27 00:28:00,61.20000
2025-04-27 00:32:00,61.10000
2025-04-27 00:34:00,61.30000
2025-04-27 00:37:00,61.50000
2025-04-27 00:38:00,61.60000
2025-04-27 00:40:01,61.30000
2025-04-27 00:41:01,61.20000
2025-04-27 00:42:01,61.30000
2025-04-27 00:43:01,61.10000
2025-04-27 00:44:01,61.00000
2025-04-27 00:46:01,60.80000
2025-04-27 00:47:01,60.70000
2025-04-27 00:48:01,60.60000
2025-04-27 00:52:01,60.70000
2025-04-27 00:54:02,60.80000
2025-04-27 00:55:02,61.00000
2025-04-27 00:58:02,61.10000
2025-04-27 01:01:02,61.20000
2025-04-27 01:02:03,61.30000
2025-04-27 01:04:03,61.60000
2025-04-27 01:05:03,61.70000
2025-04-27 01:06:03,62.00000
2025-04-27 01:07:03,62.10000
2025-04-27 01:08:03,62.30000
2025-04-27 01:09:03,62.60000
2025-04-27 01:10:03,62.80000
2025-04-27 01:11:03,63.00000
2025-04-27 01:13:03,63.20000
2025-04-27 01:14:03,63.30000
2025-04-27 01:17:04,63.70000
2025-04-27 01:20:04,64.00000
2025-04-27 01:21:04,64.10000
2025-04-27 01:23:04,64.50000
2025-04-27 01:24:04,64.70000
2025-04-27 01:25:04,64.80000
2025-04-27 01:26:04,65.10000
2025-04-27 01:27:04,65.20000
2025-04-27 01:28:05,65.30000
2025-04-27 01:30:05,65.50000
2025-04-27 01:31:05,64.70000
2025-04-27 01:32:05,64.10000
2025-04-27 01:33:05,63.70000
2025-04-27 01:34:05,63.50000
2025-04-27 01:37:05,63.70000
2025-04-27 01:38:05,64.10000
2025-04-27 01:39:05,64.30000
2025-04-27 01:41:05,64.50000
2025-04-27 01:46:06,64.30000
2025-04-27 01:51:06,64.20000
2025-04-27 01:52:06,64.30000
2025-04-27 01:55:06,64.50000
2025-04-27 01:57:07,64.60000
2025-04-27 01:58:07,64.70000
2025-04-27 02:00:07,64.80000
2025-04-27 02:02:07,65.00000
2025-04-27 02:03:07,65.10000
2025-04-27 02:04:07,65.20000
2025-04-27 02:05:07,65.60000
2025-04-27 02:06:07,65.70000
2025-04-27 02:07:07,66.10000
2025-04-27 02:08:07,66.20000
2025-04-27 02:09:07,66.60000
2025-04-27 02:10:08,66.80000
2025-04-27 02:11:08,67.00000
2025-04-27 02:12:08,67.20000
2025-04-27 02:14:08,67.50000
2025-04-27 02:15:08,67.60000
2025-04-27 02:16:08,67.70000
2025-04-27 02:16:50,68.00000
2025-04-27 02:17:50,68.50000
2025-04-27 02:18:50,68.60000
2025-04-27 02:19:50,69.00000
2025-04-27 02:20:50,68.80000
2025-04-27 02:21:50,69.20000
2025-04-27 02:22:50,69.60000
2025-04-27 02:23:50,69.80000
2025-04-27 02:24:50,70.10000
2025-04-27 02:25:50,70.30000
2025-04-27 02:26:50,70.60000
2025-04-27 02:27:50,71.00000
2025-04-27 02:28:50,71.10000
2025-04-27 02:29:50,71.20000
2025-04-27 02:31:50,71.30000
2025-04-27 02:33:50,71.50000
2025-04-27 02:35:50,71.60000
2025-04-27 02:36:50,71.80000
2025-04-27 02:37:50,72.00000
2025-04-27 02:39:50,72.30000
2025-04-27 02:41:50,72.50000
2025-04-27 02:42:50,72.80000
2025-04-27 02:43:51,73.00000
2025-04-27 02:44:51,73.30000
2025-04-27 02:46:51,73.80000
2025-04-27 02:47:51,74.30000
2025-04-27 02:49:51,74.50000
2025-04-27 02:50:51,74.60000
2025-04-27 02:52:51,74.80000
2025-04-27 02:53:51,75.00000
2025-04-27 02:54:51,74.80000
2025-04-27 02:55:51,75.00000
2025-04-27 02:56:51,75.10000
2025-04-27 02:57:51,75.00000
2025-04-27 02:58:52,75.10000
2025-04-27 02:59:52,75.30000
2025-04-27 03:00:52,75.50000
2025-04-27 03:02:52,75.70000
2025-04-27 03:03:52,75.60000
2025-04-27 03:04:52,75.70000
2025-04-27 03:07:52,75.80000
2025-04-27 03:08:52,76.00000
2025-04-27 03:11:52,75.80000
2025-04-27 03:13:53,75.70000
2025-04-27 03:14:53,75.80000
2025-04-27 03:15:53,75.70000
2025-04-27 03:16:53,75.60000
2025-04-27 03:18:52,75.50000
2025-04-27 03:19:52,75.30000
2025-04-27 03:21:52,75.20000
2025-04-27 03:22:52,75.10000
2025-04-27 03:24:52,75.00000
2025-04-27 03:32:53,74.80000
2025-04-27 03:34:53,75.00000
2025-04-27 03:38:53,74.80000
2025-04-27 03:39:54,75.00000
2025-04-27 03:40:54,75.20000
2025-04-27 03:42:54,75.50000
2025-04-27 03:43:54,75.80000
2025-04-27 03:44:54,76.00000
2025-04-27 03:45:54,76.20000
2025-04-27 03:46:54,76.10000
2025-04-27 03:47:54,76.30000
2025-04-27 03:48:54,76.10000
2025-04-27 03:49:54,76.20000
2025-04-27 03:50:54,76.30000
2025-04-27 03:51:54,76.60000
2025-04-27 03:54:55,76.70000
2025-04-27 03:57:55,76.80000
2025-04-27 04:01:55,77.00000
2025-04-27 04:04:55,77.10000
2025-04-27 04:06:56,77.20000
2025-04-27 04:07:56,77.30000
2025-04-27 04:08:56,77.50000
2025-04-27 04:09:56,77.30000
2025-04-27 04:10:56,77.20000
2025-04-27 04:11:56,77.50000
2025-04-27 04:12:56,77.70000
2025-04-27 04:13:56,78.00000
2025-04-27 04:14:56,78.10000
2025-04-27 04:15:56,78.20000
2025-04-27 04:17:56,78.30000
2025-04-27 04:19:57,78.70000
2025-04-27 04:20:57,79.10000
2025-04-27 04:23:57,79.20000
2025-04-27 04:24:57,79.50000
2025-04-27 04:25:57,79.60000
2025-04-27 04:26:57,80.00000
2025-04-27 04:27:57,80.20000
2025-04-27 04:28:57,80.30000
2025-04-27 04:29:57,80.60000
2025-04-27 04:30:57,81.10000
2025-04-27 04:33:58,81.20000
2025-04-27 04:35:58,81.10000
2025-04-27 04:36:58,81.00000
2025-04-27 04:37:58,81.10000
2025-04-27 04:40:58,81.20000
2025-04-27 04:42:58,81.30000
2025-04-27 04:44:59,81.50000
2025-04-27 04:46:59,81.30000
2025-04-27 04:48:59,81.20000
2025-04-27 04:52:59,81.10000
2025-04-27 04:53:59,81.20000
2025-04-27 04:55:59,81.70000
2025-04-27 04:56:59,81.80000
2025-04-27 05:02:00,82.00000
2025-04-27 05:03:00,82.10000
2025-04-27 05:04:00,82.20000
2025-04-27 05:06:00,82.50000
2025-04-27 05:07:00,82.70000
2025-04-27 05:08:00,83.00000
2025-04-27 05:11:00,82.70000
2025-04-27 05:12:01,83.00000
2025-04-27 05:13:01,83.10000
2025-04-27 05:14:01,83.20000
2025-04-27 05:16:01,83.30000
2025-04-27 05:20:01,83.60000
2025-04-27 05:23:01,83.70000
2025-04-27 05:25:01,83.80000
2025-04-27 05:26:02,84.00000
2025-04-27 05:27:02,83.80000
2025-04-27 05:28:02,84.00000
2025-04-27 05:30:02,83.80000
2025-04-27 05:31:02,84.00000
2025-04-27 05:33:02,83.80000
2025-04-27 05:35:02,84.00000
2025-04-27 05:36:02,84.20000
2025-04-27 05:40:02,84.30000
2025-04-27 05:40:56,84.50000
2025-04-27 05:41:56,84.60000
2025-04-27 05:42:56,85.00000
2025-04-27 05:43:56,84.80000
2025-04-27 05:45:56,85.00000
2025-04-27 05:46:56,85.10000
2025-04-27 05:49:56,85.20000
2025-04-27 05:50:56,85.50000
2025-04-27 05:51:56,85.30000
2025-04-27 05:52:56,85.50000
2025-04-27 05:53:56,85.20000
2025-04-27 05:55:57,85.10000
2025-04-27 05:56:57,85.20000
2025-04-27 05:58:57,85.50000
2025-04-27 05:59:57,85.80000
2025-04-27 06:00:57,86.00000
2025-04-27 06:04:57,85.80000
2025-04-27 06:06:57,86.00000
2025-04-27 06:07:57,86.10000
2025-04-27 06:08:57,86.20000
2025-04-27 06:10:58,86.10000
2025-04-27 06:12:58,86.00000
2025-04-27 06:16:58,85.60000
2025-04-27 06:17:58,85.30000
2025-04-27 06:18:58,84.80000
2025-04-27 06:19:58,84.30000
2025-04-27 06:20:58,83.80000
2025-04-27 06:21:58,83.60000
2025-04-27 06:22:58,83.30000
2025-04-27 06:23:58,83.10000
2025-04-27 06:24:58,82.80000
2025-04-27 06:25:59,82.60000
2025-04-27 06:26:59,82.30000
2025-04-27 06:28:59,82.50000
2025-04-27 06:29:59,82.30000
2025-04-27 06:30:59,82.20000
2025-04-27 06:31:59,82.30000
2025-04-27 06:35:59,82.20000
2025-04-27 06:36:59,82.30000
2025-04-27 06:37:59,82.50000
2025-04-27 06:39:00,82.60000
2025-04-27 06:40:00,82.70000
2025-04-27 06:42:00,83.00000
2025-04-27 06:45:00,82.60000
2025-04-27 06:46:00,82.50000
2025-04-27 06:47:00,81.70000
2025-04-27 06:48:00,81.10000
2025-04-27 06:49:00,81.00000
2025-04-27 06:50:00,80.60000
2025-04-27 06:51:00,80.30000
2025-04-27 06:52:00,79.80000
2025-04-27 06:53:01,79.60000
2025-04-27 06:54:01,78.80000
2025-04-27 06:55:01,78.30000
2025-04-27 06:56:01,78.00000
2025-04-27 06:57:01,77.80000
2025-04-27 06:58:01,77.70000
2025-04-27 07:00:01,78.00000
2025-04-27 07:01:01,78.10000
2025-04-27 07:04:01,78.20000
2025-04-27 07:05:02,78.60000
2025-04-27 07:06:02,78.70000
2025-04-27 07:08:02,79.00000
2025-04-27 07:09:02,78.80000
2025-04-27 07:10:02,79.00000
2025-04-27 07:11:02,78.50000
2025-04-27 07:13:02,78.30000
2025-04-27 07:15:02,78.20000
2025-04-27 07:16:02,78.10000
2025-04-27 07:17:02,77.80000
2025-04-27 07:18:03,77.60000
2025-04-27 07:19:03,77.50000
2025-04-27 07:20:03,77.70000
2025-04-27 07:23:03,77.60000
2025-04-27 07:24:03,77.30000
2025-04-27 07:25:03,76.70000
2025-04-27 07:26:03,76.50000
2025-04-27 07:27:03,76.20000
2025-04-27 07:28:03,75.70000
2025-04-27 07:29:03,75.20000
2025-04-27 07:30:03,75.10000
2025-04-27 07:31:04,75.00000
2025-04-27 07:32:04,74.20000
2025-04-27 07:33:04,74.00000
2025-04-27 07:34:04,72.80000
2025-04-27 07:35:04,69.80000
2025-04-27 07:36:04,67.30000
2025-04-27 07:37:04,65.80000
2025-04-27 07:38:04,65.00000
2025-04-27 07:39:04,64.80000
2025-04-27 07:40:04,65.00000
2025-04-27 07:41:04,64.70000
2025-04-27 07:42:04,65.00000
2025-04-27 07:43:04,65.60000
2025-04-27 07:44:05,66.70000
2025-04-27 07:45:05,66.60000
2025-04-27 07:46:05,67.50000
2025-04-27 07:47:05,68.30000
2025-04-27 07:48:05,69.20000
2025-04-27 07:49:05,69.50000
2025-04-27 07:51:05,69.70000
2025-04-27 07:52:05,69.30000
2025-04-27 07:53:05,69.20000
2025-04-27 07:54:05,69.80000
2025-04-27 07:57:06,69.30000
2025-04-27 07:59:06,69.20000
2025-04-27 08:00:06,69.30000
2025-04-27 08:02:06,69.50000
2025-04-27 08:03:06,70.10000
2025-04-27 08:04:06,70.70000
2025-04-27 08:06:06,71.00000
2025-04-27 08:07:06,71.30000
2025-04-27 08:08:06,71.80000
2025-04-27 08:09:06,72.20000
2025-04-27 08:11:07,72.10000
2025-04-27 08:13:07,72.00000
2025-04-27 08:15:07,71.80000
2025-04-27 08:16:07,72.10000
2025-04-27 08:17:07,72.00000
2025-04-27 08:18:07,71.80000
2025-04-27 08:19:07,72.00000
2025-04-27 08:21:07,71.80000
2025-04-27 08:22:08,71.60000
2025-04-27 08:23:08,72.10000
2025-04-27 08:24:08,71.50000
2025-04-27 08:25:08,70.70000
2025-04-27 08:26:08,70.30000
2025-04-27 08:27:08,70.10000
2025-04-27 08:28:08,69.60000
2025-04-27 08:29:08,69.30000
2025-04-27 08:30:08,69.00000
2025-04-27 08:31:08,68.00000
2025-04-27 08:32:08,66.30000
2025-04-27 08:33:08,65.10000
2025-04-27 08:34:08,65.30000
2025-04-27 08:35:09,65.10000
2025-04-27 08:36:09,64.70000
2025-04-27 08:37:09,65.00000
2025-04-27 08:38:09,65.50000
2025-04-27 08:39:09,66.20000
2025-04-27 08:40:09,66.60000
2025-04-27 08:41:09,66.50000
2025-04-27 08:43:09,66.60000
2025-04-27 08:44:09,66.70000
2025-04-27 08:45:09,66.00000
2025-04-27 08:46:09,65.30000
