Time,Value
2025-04-27 01:05:03,79.81322
2025-04-27 01:06:03,79.80366
2025-04-27 01:07:03,79.82280
2025-04-27 01:08:03,79.80812
2025-04-27 01:09:03,79.81770
2025-04-27 01:12:03,79.81738
2025-04-27 01:13:03,79.82248
2025-04-27 01:14:03,79.82694
2025-04-27 01:16:04,79.82663
2025-04-27 01:18:04,79.82184
2025-04-27 01:19:04,79.82663
2025-04-27 01:21:04,79.82184
2025-04-27 01:22:04,79.81164
2025-04-27 01:23:04,79.80207
2025-04-27 01:24:04,79.82121
2025-04-27 01:25:04,79.82089
2025-04-27 01:26:04,79.82568
2025-04-27 01:27:04,79.82089
2025-04-27 01:28:05,79.82568
2025-04-27 01:29:05,79.82089
2025-04-27 01:30:05,79.82057
2025-04-27 01:32:05,79.81579
2025-04-27 01:33:05,79.81100
2025-04-27 01:35:05,79.80591
2025-04-27 01:36:05,79.79570
2025-04-27 01:37:05,79.79060
2025-04-27 01:38:05,79.80112
2025-04-27 01:41:05,79.80591
2025-04-27 01:42:06,79.80112
2025-04-27 01:43:06,79.79633
2025-04-27 01:44:06,79.80080
2025-04-27 01:45:06,79.79633
2025-04-27 01:46:06,79.80112
2025-04-27 01:47:06,79.80622
2025-04-27 01:48:06,79.80144
2025-04-27 01:49:06,79.79187
2025-04-27 01:50:06,79.80144
2025-04-27 01:51:06,79.79187
2025-04-27 01:52:06,79.80144
2025-04-27 01:53:06,79.79187
2025-04-27 01:54:06,79.78198
2025-04-27 01:56:06,79.78708
2025-04-27 01:57:07,79.77719
2025-04-27 01:58:07,79.77209
2025-04-27 01:59:07,79.77242
2025-04-27 02:00:07,79.76730
2025-04-27 02:01:07,79.76762
2025-04-27 02:02:07,79.75774
2025-04-27 02:03:07,79.75295
2025-04-27 02:05:07,79.74785
2025-04-27 02:06:07,79.73828
2025-04-27 02:07:07,79.73350
2025-04-27 02:08:07,79.72871
2025-04-27 02:09:07,79.72393
2025-04-27 02:10:08,79.71915
2025-04-27 02:12:08,79.71404
2025-04-27 02:13:08,79.70926
2025-04-27 02:14:08,79.69490
2025-04-27 02:15:08,79.71436
2025-04-27 02:16:08,79.71915
2025-04-27 02:16:49,79.69522
2025-04-27 02:17:50,79.70000
2025-04-27 02:18:50,79.69012
2025-04-27 02:22:50,79.67992
2025-04-27 02:23:50,79.67513
2025-04-27 02:24:50,79.67992
2025-04-27 02:25:50,79.67513
2025-04-27 02:26:50,79.69012
2025-04-27 02:27:49,79.66077
2025-04-27 02:28:50,79.66525
2025-04-27 02:29:50,79.66046
2025-04-27 02:31:50,79.66525
2025-04-27 02:33:50,79.67003
2025-04-27 02:34:50,79.66046
2025-04-27 02:35:50,79.66014
2025-04-27 02:37:50,79.65535
2025-04-27 02:39:50,79.65025
2025-04-27 02:40:50,79.65057
2025-04-27 02:41:50,79.65025
2025-04-27 02:42:50,79.64547
2025-04-27 02:43:50,79.65025
2025-04-27 02:45:51,79.64547
2025-04-27 02:46:51,79.65535
2025-04-27 02:47:51,79.65504
2025-04-27 02:49:51,79.64993
2025-04-27 02:50:51,79.65472
2025-04-27 02:54:51,79.64962
2025-04-27 02:56:51,79.65440
2025-04-27 02:57:51,79.64962
2025-04-27 02:58:52,79.65472
2025-04-27 02:59:52,79.64962
2025-04-27 03:04:52,79.65440
2025-04-27 03:06:52,79.65919
2025-04-27 03:07:52,79.65440
2025-04-27 03:08:52,79.65919
2025-04-27 03:09:52,79.64484
2025-04-27 03:10:52,79.65919
2025-04-27 03:13:53,79.66939
2025-04-27 03:14:53,79.66429
2025-04-27 03:15:53,79.66876
2025-04-27 03:16:53,79.66365
