Time,Value
2025-04-27 05:49:56,79.88393
2025-04-27 05:50:56,78.54464
2025-04-27 05:51:56,78.93750
2025-04-27 05:52:56,77.92857
2025-04-27 05:53:56,78.64286
2025-04-27 05:54:56,80.11607
2025-04-27 05:55:57,78.23214
2025-04-27 05:56:57,79.16071
2025-04-27 05:57:57,79.75000
2025-04-27 05:58:57,78.90179
2025-04-27 05:59:57,79.06250
2025-04-27 06:00:57,79.03571
2025-04-27 06:01:57,79.41964
2025-04-27 06:02:57,77.79464
2025-04-27 06:03:57,79.70536
2025-04-27 06:04:57,78.59821
2025-04-27 06:05:57,78.00893
2025-04-27 06:06:57,79.26786
2025-04-27 06:07:57,78.00893
2025-04-27 06:08:57,79.98214
2025-04-27 06:09:57,79.96429
2025-04-27 06:10:58,78.88393
2025-04-27 06:11:58,77.97321
2025-04-27 06:12:58,78.52679
2025-04-27 06:13:58,77.92857
2025-04-27 06:14:58,79.68750
2025-04-27 06:15:58,78.54464
2025-04-27 06:16:58,79.57143
2025-04-27 06:17:58,77.97321
2025-04-27 06:18:58,79.41964
2025-04-27 06:19:58,78.95536
2025-04-27 06:20:58,79.13393
2025-04-27 06:21:58,78.62500
2025-04-27 06:22:58,78.46429
2025-04-27 06:23:58,78.77679
2025-04-27 06:24:58,78.08929
2025-04-27 06:25:59,78.36607
2025-04-27 06:26:59,78.80357
2025-04-27 06:27:59,79.39286
2025-04-27 06:28:59,78.95536
2025-04-27 06:29:59,79.55357
2025-04-27 06:30:59,78.62500
2025-04-27 06:31:59,79.88393
2025-04-27 06:32:59,78.88393
2025-04-27 06:33:59,78.77679
2025-04-27 06:34:59,79.03571
2025-04-27 06:35:59,79.21429
2025-04-27 06:36:59,78.72321
2025-04-27 06:37:59,79.06250
2025-04-27 06:38:59,79.98214
2025-04-27 06:40:00,78.57143
2025-04-27 06:41:00,78.80357
2025-04-27 06:42:00,78.77679
2025-04-27 06:43:00,79.68750
2025-04-27 06:44:00,80.06250
2025-04-27 06:45:00,78.64286
2025-04-27 06:46:00,79.65179
2025-04-27 06:47:00,78.13393
2025-04-27 06:48:00,78.34821
2025-04-27 06:49:00,78.10714
2025-04-27 06:50:00,79.06250
2025-04-27 06:51:00,78.21429
2025-04-27 06:52:00,78.31250
2025-04-27 06:53:01,79.96429
2025-04-27 06:54:01,78.90179
2025-04-27 06:55:01,78.88393
2025-04-27 06:56:01,78.75893
